trials,accuracy,logloss
1,0.851851851851852,5.11685576220899
2,0.851851851851852,5.11685576220899
3,0.851851851851852,0.255246691403226
4,0.851851851851852,0.251170646078637
5,0.851851851851852,0.257519827552275
6,0.851851851851852,0.266925697272012
7,0.814814814814815,0.258374261093841
8,0.851851851851852,0.277543144607018
9,0.814814814814815,0.278408917176558
10,0.851851851851852,0.279190630592775
11,0.851851851851852,0.254830219471457
12,0.888888888888889,0.255935077952659
13,0.888888888888889,0.255935077952659
14,0.888888888888889,0.255935077952659
15,0.888888888888889,0.255935077952659
16,0.888888888888889,0.255935077952659
17,0.888888888888889,0.255935077952659
18,0.888888888888889,0.255935077952659
19,0.888888888888889,0.255935077952659
20,0.888888888888889,0.255935077952659
21,0.888888888888889,0.255935077952659
22,0.888888888888889,0.255935077952659
23,0.888888888888889,0.255935077952659
24,0.888888888888889,0.255935077952659
25,0.888888888888889,0.255935077952659
26,0.888888888888889,0.255935077952659
27,0.888888888888889,0.255935077952659
28,0.888888888888889,0.255935077952659
29,0.888888888888889,0.255935077952659
30,0.888888888888889,0.255935077952659
31,0.888888888888889,0.255935077952659
32,0.888888888888889,0.255935077952659
33,0.888888888888889,0.255935077952659
34,0.888888888888889,0.255935077952659
35,0.888888888888889,0.255935077952659
36,0.888888888888889,0.255935077952659
37,0.888888888888889,0.255935077952659
38,0.888888888888889,0.255935077952659
39,0.888888888888889,0.255935077952659
40,0.888888888888889,0.255935077952659
41,0.888888888888889,0.255935077952659
42,0.888888888888889,0.255935077952659
43,0.888888888888889,0.255935077952659
44,0.888888888888889,0.255935077952659
45,0.888888888888889,0.255935077952659
46,0.888888888888889,0.255935077952659
47,0.888888888888889,0.255935077952659
48,0.888888888888889,0.255935077952659
49,0.888888888888889,0.255935077952659
50,0.888888888888889,0.255935077952659
51,0.888888888888889,0.255935077952659
52,0.888888888888889,0.255935077952659
53,0.888888888888889,0.255935077952659
54,0.888888888888889,0.255935077952659
55,0.888888888888889,0.255935077952659
56,0.888888888888889,0.255935077952659
57,0.888888888888889,0.255935077952659
58,0.888888888888889,0.255935077952659
59,0.888888888888889,0.255935077952659
60,0.888888888888889,0.255935077952659
61,0.888888888888889,0.255935077952659
62,0.888888888888889,0.255935077952659
63,0.888888888888889,0.255935077952659
64,0.888888888888889,0.255935077952659
65,0.888888888888889,0.255935077952659
66,0.888888888888889,0.255935077952659
67,0.888888888888889,0.255935077952659
68,0.888888888888889,0.255935077952659
69,0.888888888888889,0.255935077952659
70,0.888888888888889,0.255935077952659
71,0.888888888888889,0.255935077952659
72,0.888888888888889,0.255935077952659
73,0.888888888888889,0.255935077952659
74,0.888888888888889,0.255935077952659
75,0.888888888888889,0.255935077952659
76,0.888888888888889,0.255935077952659
77,0.888888888888889,0.255935077952659
78,0.888888888888889,0.255935077952659
79,0.888888888888889,0.255935077952659
80,0.888888888888889,0.255935077952659
81,0.888888888888889,0.255935077952659
82,0.888888888888889,0.255935077952659
83,0.888888888888889,0.255935077952659
84,0.888888888888889,0.255935077952659
85,0.888888888888889,0.255935077952659
86,0.888888888888889,0.255935077952659
87,0.888888888888889,0.255935077952659
88,0.888888888888889,0.255935077952659
89,0.888888888888889,0.255935077952659
90,0.888888888888889,0.255935077952659
91,0.888888888888889,0.255935077952659
92,0.888888888888889,0.255935077952659
93,0.888888888888889,0.255935077952659
94,0.888888888888889,0.255935077952659
95,0.888888888888889,0.255935077952659
96,0.888888888888889,0.255935077952659
97,0.888888888888889,0.255935077952659
98,0.888888888888889,0.255935077952659
99,0.888888888888889,0.255935077952659
100,0.888888888888889,0.255935077952659
