nodes,nTree,accuracy,logloss
1,1,0.592592592592593,14.0715310343925
2,1,0.666666666666667,11.5130439238488
3,1,0.666666666666667,11.5130439238488
4,1,0.62962962962963,12.7922874791207
5,1,0.62962962962963,12.7922874791207
6,1,0.666666666666667,11.5130735385684
7,1,0.592592592592593,14.0715014196729
8,1,0.592592592592593,14.0715014196729
9,1,0.592592592592593,14.0715310343925
10,1,0.592592592592593,14.0715310343925
11,1,0.592592592592593,14.0715310343925
12,1,0.592592592592593,14.0715310343925
13,1,0.592592592592593,14.0715310343925
14,1,0.592592592592593,14.0715310343925
15,1,0.666666666666667,11.5130735385684
16,1,0.666666666666667,11.5130735385684
17,1,0.666666666666667,11.5130735385684
18,1,0.666666666666667,11.5130735385684
19,1,0.666666666666667,11.5130735385684
20,1,0.666666666666667,11.5130735385684
21,1,0.666666666666667,11.5130735385684
22,1,0.666666666666667,11.5130735385684
23,1,0.666666666666667,11.5130735385684
24,1,0.666666666666667,11.5130735385684
25,1,0.666666666666667,11.5130735385684
26,1,0.666666666666667,11.5130735385684
27,1,0.666666666666667,11.5130735385684
28,1,0.666666666666667,11.5130735385684
29,1,0.666666666666667,11.5130735385684
30,1,0.666666666666667,11.5130735385684
31,1,0.666666666666667,11.5130735385684
32,1,0.666666666666667,11.5130735385684
33,1,0.666666666666667,11.5130735385684
34,1,0.666666666666667,11.5130735385684
35,1,0.666666666666667,11.5130735385684
36,1,0.666666666666667,11.5130735385684
37,1,0.666666666666667,11.5130735385684
38,1,0.666666666666667,11.5130735385684
39,1,0.666666666666667,11.5130735385684
40,1,0.666666666666667,11.5130735385684
41,1,0.666666666666667,11.5130735385684
42,1,0.666666666666667,11.5130439238488
43,1,0.666666666666667,11.5130439238488
44,1,0.666666666666667,11.5130439238488
45,1,0.666666666666667,11.5130439238488
46,1,0.666666666666667,11.5130439238488
47,1,0.666666666666667,11.5130439238488
48,1,0.666666666666667,11.5130439238488
49,1,0.666666666666667,11.5130439238488
