nIter,treeDepth,accuracy,logloss
1,3,0.703703703703704,4.2667947426357
2,3,0.703703703703704,5.44936389691793
3,3,0.777777777777778,7.83308917366295
4,3,0.777777777777778,7.93765449956388
5,3,0.703703703703704,9.25723002915469
6,3,0.740740740740741,12.891025534304
7,3,0.703703703703704,12.891025534304
8,3,0.703703703703704,12.891025534304
9,3,0.740740740740741,12.9250567269881
10,3,0.777777777777778,14.1520176193096
11,3,0.740740740740741,14.1520176193096
12,3,0.703703703703704,14.1520176193096
13,3,0.666666666666667,14.1520176193096
14,3,0.62962962962963,15.3849538559467
15,3,0.666666666666667,16.6301662185345
16,3,0.666666666666667,16.7084960177969
17,3,0.666666666666667,17.9485746734376
18,3,0.666666666666667,19.1886533290783
19,3,0.666666666666667,19.1886533290783
20,3,0.666666666666667,19.1886533290783
21,3,0.666666666666667,19.1886533290783
22,3,0.703703703703704,19.1886533290783
23,3,0.703703703703704,19.1886533290783
24,3,0.703703703703704,19.1886533290783
25,3,0.703703703703704,19.1886533290783
26,3,0.703703703703704,19.1886533290783
27,3,0.703703703703704,19.1886533290783
28,3,0.703703703703704,19.1886533290783
29,3,0.703703703703704,19.1886533290783
30,3,0.703703703703704,19.1886533290783
31,3,0.703703703703704,19.1886533290783
32,3,0.703703703703704,19.1886533290783
33,3,0.703703703703704,19.1886533290783
34,3,0.703703703703704,19.1886533290783
35,3,0.703703703703704,19.1886533290783
36,3,0.703703703703704,19.1886533290783
37,3,0.703703703703704,19.1886533290783
38,3,0.703703703703704,19.1886533290783
39,3,0.703703703703704,19.1886533290783
40,3,0.703703703703704,19.1886533290783
41,3,0.703703703703704,19.1886533290783
42,3,0.703703703703704,19.1886533290783
43,3,0.703703703703704,19.1886533290783
44,3,0.703703703703704,19.1886533290783
45,3,0.703703703703704,19.1886533290783
46,3,0.703703703703704,19.1886533290783
47,3,0.703703703703704,19.1886533290783
48,3,0.703703703703704,19.1886533290783
49,3,0.703703703703704,19.1886533290783
50,3,0.703703703703704,19.1886533290783
51,3,0.703703703703704,19.1886533290783
52,3,0.703703703703704,19.1886533290783
53,3,0.703703703703704,19.1886533290783
54,3,0.703703703703704,19.1886533290783
55,3,0.703703703703704,19.1886533290783
56,3,0.703703703703704,19.1886533290783
57,3,0.703703703703704,19.1886533290783
58,3,0.703703703703704,19.1886533290783
59,3,0.703703703703704,19.1886533290783
60,3,0.703703703703704,19.1886533290783
61,3,0.703703703703704,19.1886533290783
62,3,0.703703703703704,19.1886533290783
63,3,0.740740740740741,19.1886533290783
64,3,0.740740740740741,19.1886533290783
65,3,0.740740740740741,19.1886533290783
66,3,0.740740740740741,19.1886533290783
67,3,0.740740740740741,19.1886533290783
68,3,0.740740740740741,19.1886533290783
69,3,0.740740740740741,19.1886533290783
70,3,0.740740740740741,19.1886533290783
71,3,0.740740740740741,19.1886533290783
72,3,0.740740740740741,19.1886533290783
73,3,0.740740740740741,19.1886533290783
74,3,0.740740740740741,19.1886533290783
75,3,0.740740740740741,19.1886533290783
76,3,0.740740740740741,19.1886533290783
77,3,0.740740740740741,19.1886533290783
78,3,0.740740740740741,19.1886533290783
79,3,0.740740740740741,19.1886533290783
80,3,0.740740740740741,19.1886533290783
81,3,0.740740740740741,19.1886533290783
82,3,0.740740740740741,19.1886533290783
83,3,0.740740740740741,19.1886533290783
84,3,0.740740740740741,19.1886533290783
85,3,0.740740740740741,19.1886533290783
86,3,0.703703703703704,19.1886533290783
87,3,0.740740740740741,19.1886533290783
88,3,0.740740740740741,19.1886533290783
89,3,0.740740740740741,19.1886533290783
90,3,0.740740740740741,19.1886533290783
91,3,0.740740740740741,19.1886533290783
92,3,0.740740740740741,19.1886533290783
93,3,0.740740740740741,19.1886533290783
94,3,0.740740740740741,19.1886533290783
95,3,0.740740740740741,19.1886533290783
96,3,0.740740740740741,19.1886533290783
97,3,0.740740740740741,19.1886533290783
98,3,0.740740740740741,19.1886533290783
99,3,0.740740740740741,19.1886533290783
100,3,0.740740740740741,19.1886533290783
