nodes,nTree,accuracy
1,1,0.752475247524752
2,1,0.772277227722772
3,1,0.752475247524752
4,1,0.762376237623762
5,1,0.732673267326733
6,1,0.742574257425743
7,1,0.742574257425743
8,1,0.712871287128713
9,1,0.712871287128713
10,1,0.712871287128713
11,1,0.712871287128713
12,1,0.712871287128713
13,1,0.712871287128713
14,1,0.712871287128713
15,1,0.762376237623762
16,1,0.762376237623762
17,1,0.762376237623762
18,1,0.762376237623762
19,1,0.762376237623762
20,1,0.762376237623762
21,1,0.732673267326733
22,1,0.732673267326733
23,1,0.732673267326733
24,1,0.732673267326733
25,1,0.732673267326733
26,1,0.732673267326733
27,1,0.732673267326733
28,1,0.732673267326733
29,1,0.732673267326733
30,1,0.762376237623762
31,1,0.762376237623762
32,1,0.742574257425743
33,1,0.742574257425743
34,1,0.742574257425743
35,1,0.742574257425743
36,1,0.742574257425743
37,1,0.742574257425743
38,1,0.742574257425743
39,1,0.742574257425743
40,1,0.742574257425743
41,1,0.742574257425743
42,1,0.742574257425743
43,1,0.742574257425743
44,1,0.742574257425743
45,1,0.742574257425743
46,1,0.742574257425743
47,1,0.742574257425743
48,1,0.742574257425743
49,1,0.742574257425743
50,1,0.742574257425743
51,1,0.742574257425743
52,1,0.742574257425743
53,1,0.742574257425743
54,1,0.742574257425743
55,1,0.742574257425743
56,1,0.742574257425743
57,1,0.742574257425743
58,1,0.742574257425743
59,1,0.742574257425743
60,1,0.742574257425743
61,1,0.742574257425743
62,1,0.742574257425743
63,1,0.742574257425743
64,1,0.742574257425743
65,1,0.742574257425743
66,1,0.742574257425743
67,1,0.742574257425743
68,1,0.742574257425743
69,1,0.742574257425743
70,1,0.742574257425743
71,1,0.742574257425743
72,1,0.742574257425743
73,1,0.742574257425743
74,1,0.742574257425743
75,1,0.742574257425743
76,1,0.742574257425743
77,1,0.742574257425743
78,1,0.742574257425743
79,1,0.742574257425743
80,1,0.742574257425743
81,1,0.742574257425743
82,1,0.742574257425743
83,1,0.742574257425743
84,1,0.742574257425743
85,1,0.742574257425743
86,1,0.742574257425743
87,1,0.742574257425743
88,1,0.742574257425743
89,1,0.742574257425743
90,1,0.742574257425743
91,1,0.742574257425743
92,1,0.742574257425743
93,1,0.742574257425743
94,1,0.742574257425743
95,1,0.742574257425743
96,1,0.742574257425743
97,1,0.742574257425743
98,1,0.742574257425743
99,1,0.742574257425743
100,1,0.742574257425743
1,2,0.802469135802469
2,2,0.728915662650602
3,2,0.731707317073171
4,2,0.723926380368098
5,2,0.732142857142857
6,2,0.751552795031056
7,2,0.730061349693252
8,2,0.727272727272727
9,2,0.709090909090909
10,2,0.690909090909091
11,2,0.690909090909091
12,2,0.733333333333333
13,2,0.727272727272727
14,2,0.727272727272727
15,2,0.75776397515528
16,2,0.75776397515528
17,2,0.75776397515528
18,2,0.75776397515528
19,2,0.763975155279503
20,2,0.732919254658385
21,2,0.74251497005988
22,2,0.74251497005988
23,2,0.755952380952381
24,2,0.755952380952381
25,2,0.755952380952381
26,2,0.755952380952381
27,2,0.738095238095238
28,2,0.738095238095238
29,2,0.720238095238095
30,2,0.709876543209877
31,2,0.709876543209877
32,2,0.723270440251572
33,2,0.691823899371069
34,2,0.710691823899371
35,2,0.710691823899371
36,2,0.69811320754717
37,2,0.69811320754717
38,2,0.69811320754717
39,2,0.737804878048781
40,2,0.699386503067485
41,2,0.748466257668712
42,2,0.736196319018405
43,2,0.736196319018405
44,2,0.736196319018405
45,2,0.736196319018405
46,2,0.736196319018405
47,2,0.736196319018405
48,2,0.736196319018405
49,2,0.711656441717791
50,2,0.711656441717791
51,2,0.705521472392638
52,2,0.705521472392638
53,2,0.711656441717791
54,2,0.711656441717791
55,2,0.763313609467456
56,2,0.763313609467456
57,2,0.763313609467456
58,2,0.773809523809524
59,2,0.773809523809524
60,2,0.773809523809524
61,2,0.773809523809524
62,2,0.755952380952381
63,2,0.755952380952381
64,2,0.761904761904762
65,2,0.761904761904762
66,2,0.761904761904762
67,2,0.761904761904762
68,2,0.761904761904762
69,2,0.761904761904762
70,2,0.761904761904762
71,2,0.761904761904762
72,2,0.730538922155689
73,2,0.730538922155689
74,2,0.730538922155689
75,2,0.730538922155689
76,2,0.736526946107785
77,2,0.736526946107785
78,2,0.736526946107785
79,2,0.736526946107785
80,2,0.736526946107785
81,2,0.786585365853659
82,2,0.786585365853659
83,2,0.786585365853659
84,2,0.786585365853659
85,2,0.792682926829268
86,2,0.792682926829268
87,2,0.792682926829268
88,2,0.792682926829268
89,2,0.792682926829268
90,2,0.774390243902439
91,2,0.774390243902439
92,2,0.774390243902439
93,2,0.774390243902439
94,2,0.774390243902439
95,2,0.774390243902439
96,2,0.774390243902439
97,2,0.774390243902439
98,2,0.774390243902439
99,2,0.774390243902439
100,2,0.774390243902439
1,3,0.773869346733668
2,3,0.766169154228856
3,3,0.733990147783251
4,3,0.71078431372549
5,3,0.760765550239234
6,3,0.757425742574258
7,3,0.728571428571429
8,3,0.730769230769231
9,3,0.707920792079208
10,3,0.714975845410628
11,3,0.712195121951219
12,3,0.745192307692308
13,3,0.707920792079208
14,3,0.707920792079208
15,3,0.796875
16,3,0.796875
17,3,0.75
18,3,0.75
19,3,0.753926701570681
20,3,0.707920792079208
21,3,0.724137931034483
22,3,0.724137931034483
23,3,0.758620689655172
24,3,0.724137931034483
25,3,0.724137931034483
26,3,0.724137931034483
27,3,0.752475247524752
28,3,0.732673267326733
29,3,0.732673267326733
30,3,0.742424242424242
31,3,0.742424242424242
32,3,0.695431472081218
33,3,0.71078431372549
34,3,0.707920792079208
35,3,0.707920792079208
36,3,0.688118811881188
37,3,0.688118811881188
38,3,0.688118811881188
39,3,0.735294117647059
40,3,0.721393034825871
41,3,0.715
42,3,0.715736040609137
43,3,0.715736040609137
44,3,0.736040609137056
45,3,0.736040609137056
46,3,0.736040609137056
47,3,0.736040609137056
48,3,0.736040609137056
49,3,0.723618090452261
50,3,0.723618090452261
51,3,0.727272727272727
52,3,0.727272727272727
53,3,0.751243781094527
54,3,0.751243781094527
55,3,0.729468599033817
56,3,0.729468599033817
57,3,0.729468599033817
58,3,0.779904306220096
59,3,0.779904306220096
60,3,0.779904306220096
61,3,0.779904306220096
62,3,0.757281553398058
63,3,0.757281553398058
64,3,0.745098039215686
65,3,0.745098039215686
66,3,0.745098039215686
67,3,0.745098039215686
68,3,0.745098039215686
69,3,0.745098039215686
70,3,0.745098039215686
71,3,0.745098039215686
72,3,0.716417910447761
73,3,0.716417910447761
74,3,0.716417910447761
75,3,0.716417910447761
76,3,0.751269035532995
77,3,0.751269035532995
78,3,0.751269035532995
79,3,0.751269035532995
80,3,0.751269035532995
81,3,0.761194029850746
82,3,0.761194029850746
83,3,0.771144278606965
84,3,0.771144278606965
85,3,0.75
86,3,0.75
87,3,0.75
88,3,0.75
89,3,0.75
90,3,0.754716981132076
91,3,0.754716981132076
92,3,0.754716981132076
93,3,0.754716981132076
94,3,0.754716981132076
95,3,0.754716981132076
96,3,0.754716981132076
97,3,0.754716981132076
98,3,0.754716981132076
99,3,0.754716981132076
100,3,0.754716981132076
1,4,0.767123287671233
2,4,0.751131221719457
3,4,0.743243243243243
4,4,0.705357142857143
5,4,0.736170212765957
6,4,0.752212389380531
7,4,0.753191489361702
8,4,0.757446808510638
9,4,0.678260869565217
10,4,0.727272727272727
11,4,0.748898678414097
12,4,0.747899159663866
13,4,0.737991266375546
14,4,0.751091703056769
15,4,0.746543778801843
16,4,0.746543778801843
17,4,0.746543778801843
18,4,0.769585253456221
19,4,0.759259259259259
20,4,0.756521739130435
21,4,0.732758620689655
22,4,0.732758620689655
23,4,0.724137931034483
